id,name,type
3645,柏子仁粥,方剂
3646,柏子养心汤,方剂
3647,败毒黄连丸,方剂
3648,败毒流气饮,方剂
3649,败毒平胃散,方剂
3650,败毒散,方剂
3651,败毒汤,方剂
3652,败龟散,方剂
3653,败酱草膏,方剂
3654,败酱草散,方剂
3655,败酱汤,方剂
3656,拜堂散,方剂
3657,斑白散,方剂
3658,斑龙八师丹,方剂
3659,斑龙二至百补丸,方剂
3660,斑龙灵龟化痔丸,方剂
3661,斑龙脑珠丸,方剂
3662,斑龙托里汤,方剂
3663,斑龙丸,方剂
3664,斑蝥醋,方剂
3665,斑蝥醋浸剂,方剂
3666,斑蝥酊,方剂
3667,斑蝥夺命丹,方剂
3668,斑蝥粉,方剂
3669,斑蝥散,方剂
3670,斑蝥通经丸,方剂
3671,板蓝根干糖浆,方剂
3672,板蓝根汤,方剂
3673,半苓汤,方剂
3674,半夏茯苓汤,方剂
3675,半夏干姜散,方剂
3676,半夏散及汤,方剂
3677,半夏秫米汤,方剂
3678,半夏丸,方剂
3679,半夏泻心汤,方剂
3680,棒头丹,方剂
3681,宝灵散,方剂
3682,宝珍膏,方剂
3683,宝珠散,方剂
3684,保安半夏丸,方剂
3685,保安大成汤,方剂
3686,保安膏,方剂
3687,保安散,方剂
3688,保安汤,方剂
3689,保安丸,方剂
3690,保安万灵丹,方剂
3691,保产万全汤,方剂
3692,保赤丹,方剂
3693,保赤散,方剂
3694,保肺济生丹,方剂
3695,保肺健脾汤,方剂
3696,保肺汤,方剂
3697,保肺丸,方剂
3698,保肺雪梨膏,方剂
3699,保肺饮,方剂
3700,保肤膏,方剂
3701,保肝利胆汤,方剂
3702,保光散,方剂
3703,保和锭子,方剂
3704,保和去滞丸,方剂
3705,保和汤,方剂
3706,保和益元散,方剂
3707,保奸散,方剂
3708,保金丸,方剂
3709,保惊丸,方剂
3710,保精汤,方剂
3711,保脍丸,方剂
3712,保坤丹,方剂
3713,保命丹,方剂
3714,保命丹锭子,方剂
3715,保命丸,方剂
3716,保命延龄丸,方剂
3717,保命延寿烧酒方,方剂
3718,保脾饮,方剂
3719,保气散,方剂
3720,保荣汤,方剂
3721,保神丹,方剂
3722,保神丸,方剂
3723,保生大佛手汤,方剂
3724,保生丹,方剂
3725,保生锭子,方剂
3726,保生救苦散,方剂
3727,保生四物汤,方剂
3728,保生汤,方剂
3729,保生丸,方剂
3730,保寿丸,方剂
3731,保胎和气饮,方剂
3732,保胎金丹,方剂
3733,保胎牛鼻丸,方剂
3734,保胎清火汤,方剂
3735,保胎神效丸,方剂
3736,保胎丸,方剂
3737,保胎无忧丸,方剂
3738,保胎饮,方剂
3739,保胎资生丸,方剂
3740,保童肥儿丸,方剂
3741,保童丸,方剂
3742,保胃安脾汤,方剂
3743,保牙散,方剂
3744,保养延寿不老丹,方剂
3745,保养元气膏,方剂
3746,保阴煎,方剂
3747,保阴生化汤,方剂
3748,保阴汤,方剂
3749,保婴艾叶汤,方剂
3750,保婴槐花散,方剂
3751,保婴桃红散,方剂
3752,保幼培元丹,方剂
3753,保元丹,方剂
3754,保元地黄汤,方剂
3755,保元国本膏,方剂
3756,保元寒降汤,方剂
3757,保元清降汤,方剂
3758,保元丸,方剂
3759,保孕丸,方剂
3760,保真广嗣丹,方剂
3761,保真汤,方剂
3762,保真丸,方剂
3763,保真饮,方剂
3764,保真种玉丸《北京市中药成方选集》,方剂
3765,保中汤,方剂
3766,葆精丸,方剂
3767,葆元异验膏,方剂
3768,葆真丸,方剂
3769,抱龙丸,方剂
3770,豹骨木瓜酒,方剂
3771,鲍鱼汤,方剂
3772,贝齿散,方剂
3773,贝莲猪肺,方剂
3774,贝母膏,方剂
3775,贝母瓜蒌散,方剂
3776,贝母黄芩汤,方剂
3777,贝母煎,方剂
3778,贝母散,方剂
3779,贝母升麻鳖甲汤,方剂
3780,贝母汤,方剂
3781,贝母丸,方剂
3782,贝母饮,方剂
3783,贝母粥,方剂
3784,贝叶膏,方剂
3785,备急丹,方剂
3786,备急丸,方剂
3787,备金散,方剂
3788,倍姜半夏丸,方剂
3789,倍术散,方剂
3790,奔豚汤,方剂
3791,奔豚丸,方剂
3792,崩漏丸,方剂
3793,崩漏止血散,方剂
3794,逼毒七宝散,方剂
3795,逼毒散,方剂
3796,鼻窦炎合剂,方剂
3797,鼻疳散,方剂
3798,鼻衄丹,方剂
3799,鼻炎灵,方剂
3800,鼻痔散,方剂
3801,比和饮,方剂
3802,比金散,方剂
3803,比金丸,方剂
3804,比圣丸,方剂
3805,比天保贞膏,方剂
3806,比天膏,方剂
3807,闭关止渴汤,方剂
3808,闭管丸,方剂
3809,闭精丸,方剂
3810,闭血汤,方剂
3811,闭真丸,方剂
3812,荜茇饼,方剂
